city,region,country,rank display,institution,location code,size,focus,research,age band,status,ar score,er score,fsr score,cpf score,ifr score,isr score,irn score,ger score,score scaled,year,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,check_city,longitude,latitude
Berlin,Europe,Germany,118,Freie Universitaet Berlin,DE,L,FC,VH,4,A,80.7,44.9,4,63.5,63,42,91.9,33.3,55.8,2023,69.7,38.3,54.6,56.6,60.3,98,yes,13.21492423,52.44184822
Berlin,Europe,Germany,131,Humboldt-Universitat zu Berlin,DE,XL,FC,VH,5,A,90.1,55.6,8.7,29.5,58.1,33.9,91.4,26,54.1,2023,69.7,38.3,54.6,56.6,60.3,98,yes,13.3873048,52.52061309
Innsbruck,Europe,Austria,308,Universitat Innsbruck,AT,L,FC,HI,5,A,19.8,5.3,65.7,12.8,100,99.9,81,47.4,34.3,2023,69.7,27.7,49.6,57.4,70.4,72.4,yes,11.38122568,47.26335417
Edmonton,North America,Canada,110,University of Alberta,CA,XL,FC,VH,5,A,55.1,48.9,51.5,53.9,95.3,76.9,96.1,41,56.9,2023,69.5,25,48.1,64.4,72.9,114.5,yes,-116.1458639,52.28417414
Guildford,Europe,United Kingdom,305,University of Surrey,UK,L,CO,VH,4,A,20.4,28.1,21.5,49.6,97.7,89.7,82.1,21,34.7,2023,69.3,46.5,58.4,58.7,70,109.7,yes,-0.592041323,51.2431428
Galway,Europe,Ireland,270,University of Galway,IE,L,FC,HI,5,A,26.4,31.6,70.7,13.5,91.3,37.9,75.7,39.3,37.2,2023,69.2,38.2,54.4,57.2,69,75.1,yes,-9.064312123,53.27915487
Antwerp,Europe,Belgium,280,University of Antwerp,BE,L,FC,VH,2,A,22.7,12.6,55.2,44.8,85.3,34.2,93.4,49.9,36.5,2023,69.1,23.9,47.4,53.9,78.3,89.4,yes,4.407664077,51.22280737
Helsinki,Europe,Finland,106,University of Helsinki,FI,L,CO,VH,5,A,65.3,44.6,66.5,49.8,67.9,5.8,95.2,62.5,57.8,2023,68.9,31.1,50.8,59,74.2,103.4,yes,24.94795198,60.16948167
Brussels,Europe,Belgium,210,Universite libre de Bruxelles,BE,L,FC,VH,5,A,34.3,50.4,4.1,67.8,96.6,86.3,82.2,49.6,42.5,2023,68.8,29.5,50,57.9,70.4,97.2,yes,4.379647277,50.81320677
Brussels,Europe,Belgium,251,Vrije Universiteit Brussel (VUB),BE,L,FC,VH,4,A,22.7,16.1,76.2,23.8,92.1,60.5,90.8,52,38.5,2023,68.8,29.5,50,57.9,70.4,97.2,yes,4.394332477,50.82223287
Cork,Europe,Ireland,303,University College Cork,IE,L,FC,VH,5,A,29,38.1,36.7,25.9,94.6,42.6,76.3,32.8,35,2023,68.8,40.7,55.3,52.9,73.6,88.5,yes,-8.494645423,51.89348597
Macau,Asia,Macao (China),304,University of Macau,MO,M,FO,VH,3,A,9.5,9.8,16.4,84,100,98.2,49.2,73.8,34.9,2023,68.8,34.9,52.5,74.4,48.2,80.2,no,113.5432046,22.13000198
Palaiseau Cedex,Europe,France,48,Institut Polytechnique de Paris,FR,M,CO,VH,1,A,45.3,99.4,98.9,94,97,98.2,94.8,99.8,76.8,2023,68.7,24.6,47.5,65.1,66.9,86.2,no,2.208181476,48.71260917
Gif-sur-Yvette,Europe,France,69,Universite Paris-Saclay,FR,L,CO,VH,1,A,57.2,99.2,99.7,49.5,43.7,59.1,97.1,7.8,68.1,2023,68.7,24.6,47.5,65.1,66.9,86.2,no,2.16130095,48.70651521
Strasbourg,Europe,France,434,Universite de Strasbourg,FR,XL,FC,VH,5,A,40.7,6.8,5.1,24.9,37.3,37.4,86.6,11.2,26.8,2023,68.7,24.6,47.5,65.1,66.9,86.2,no,7.73225505,48.58228091
Wageningen,Europe,Netherlands,124,Wageningen University & Research,NL,L,FO,VH,5,A,42.8,17,97.4,48.2,50.5,76.4,96.9,18.8,54.6,2023,68.6,33.4,51.7,57.4,67.6,107.8,no,5.665444077,51.98634747
Leiden,Europe,Netherlands,131,Leiden University,NL,XL,FC,VH,5,A,68.1,23.4,22.2,65.8,85.1,47.2,94.7,30,54.1,2023,68.6,33.4,51.7,57.4,67.6,107.8,no,4.484081477,52.15656897
Tilburg,Europe,Netherlands,398,Tilburg University,NL,L,FO,VH,4,A,14.8,30.7,10.6,50.1,95.3,52,51.9,10.6,28.6,2023,68.6,33.4,51.7,57.4,67.6,107.8,no,5.039828177,51.56319057
Eindhoven,Europe,Netherlands,138,Eindhoven University of Technology,NL,M,FO,VH,4,A,28.9,72.8,50.5,78.2,100,56.9,72.3,45.1,52.7,2023,68.5,32.1,51,56.9,66.4,118.7,yes,5.483301577,51.44797507
Tucson,North America,United States,262,The University of Arizona,US,XL,FC,VH,5,A,39.6,22.4,67.6,21.5,20.5,13.5,97,40.7,37.8,2023,68.3,33.7,51.7,69.6,64.3,132.4,yes,-110.9561156,32.23189807
Ottawa,North America,Canada,237,University of Ottawa,CA,XL,FC,VH,5,A,25.9,38.8,4.4,80.3,90.5,70.8,90.7,10.8,39.4,2023,68.2,34.5,52,60.7,71,104.2,yes,-75.68766977,45.42416687
Graz,Europe,Austria,284,Graz University of Technology,AT,M,FO,VH,5,A,13.5,7.6,99.1,15.7,75.6,61.2,59.7,40.7,36.1,2023,68.1,20.5,45.3,63.4,57.4,93.2,yes,15.44527962,47.06383438
Gold Coast,Oceania,Australia,481,Bond University,AU,S,FC,HI,3,B,4.4,6.3,45.8,16.4,98.3,98.9,15.3,31.1,24.8,2023,68.1,38,53.6,65.3,60.8,118.1,yes,153.4140628,-28.07309337
Halifax,North America,Canada,308,Dalhousie University,CA,L,FC,VH,5,A,18.5,21.2,14.2,63.8,100,80.5,81.7,18.4,34.3,2023,67.9,32.5,50.9,67.9,64,93.3,yes,-63.59774862,44.63563127
Christchurch,Oceania,New Zealand,284,University of Canterbury | Te Whare Wananga o Waitaha,NZ,L,CO,VH,4,A,38.9,39.6,11.3,33.2,98.5,52.7,67.6,54,36.2,2023,67.8,29,49.2,67.4,62.4,102.8,yes,172.5768605,-43.52248357
Nagoya,Asia,Japan,112,Nagoya University,JP,L,FC,VH,4,A,59.8,54.3,90.6,33.9,15.8,20,66.5,35.1,56.3,2023,67.5,46.8,57.5,71.3,37.4,74.1,yes,136.9656653,35.15385527
Hamilton,North America,Canada,152,McMaster University,CA,L,FC,VH,5,A,39.9,50.2,84.7,21.3,99.3,59.2,79.8,42.9,50.4,2023,67.5,34.7,51.8,66.7,60.9,91.2,yes,-79.92180032,43.26087897
Grenoble,Europe,France,317,Universite Grenoble Alpes,FR,XL,FC,VH,1,A,43.3,12.5,8.3,51.1,25.7,37.8,97.4,13.3,33.8,2023,67.5,19,44.3,65.8,60.1,90,yes,5.704550531,45.19163244
Jyvaskyla,Europe,Finland,347,University of Jyvaskyla,FI,M,CO,VH,4,A,16.9,15.4,83.6,19.3,39.1,3.1,79,6.3,31.1,2023,67.5,22.7,46,58.2,70.4,98.8,no,25.72905868,62.23653168
Lappeenranta ,Europe,Finland,388,Lappeenranta-Lahti University of Technology LUT,FI,S,SP,VH,4,A,7,18.1,13.5,96.8,35.4,11.3,55.2,11.3,29.2,2023,67.5,22.7,46,58.2,70.4,98.8,no,28.09176368,61.06499647
Oulu,Europe,Finland,392,University of Oulu,FI,M,FC,VH,4,A,15.6,22.6,30,55.6,56.8,7.5,84.4,24.6,29,2023,67.5,22.7,46,58.2,70.4,98.8,no,25.46371858,65.05931768
Rotterdam,Europe,Netherlands,208,Erasmus University Rotterdam ,NL,XL,FO,VH,5,A,35.6,47,28.3,54.9,83.2,53.2,87.1,56.1,42.6,2023,67.2,34.7,51.6,58.1,65.2,110.6,yes,4.465782781,51.92000156
Brighton,Europe,United Kingdom,240,University of Sussex,UK,L,FC,VH,4,A,23.9,6.8,16.2,80.5,96.9,92.5,85.9,38,39.2,2023,67.2,43.3,55.7,53.4,71.2,81.7,yes,-0.145142386,50.8430824
Leuven,Europe,Belgium,76,KU Leuven,BE,XL,FC,VH,5,A,83.8,53,7.7,92.7,91.9,43.3,99.1,44.8,66,2023,67,24,46.4,54.6,71.6,94.4,yes,4.697601777,50.88005667
Bonn,Europe,Germany,201,Rheinische Friedrich-Wilhelms-Universitat Bonn,DE,L,FC,VH,5,A,51.3,16.9,68.1,15.1,51.9,32.1,92.4,22.8,43.3,2023,67,30.8,49.6,50.2,67.8,78.5,yes,7.084945473,50.73179075
Linz,Europe,Austria,350,Johannes Kepler University Linz,AT,M,CO,VH,4,A,11.4,11,79.5,20,84.2,22.4,62.7,21.1,31,2023,66.7,22.4,45.5,58.8,64.5,86.8,yes,14.31386828,48.33728667
Florence,Europe,Italy,460,University of Florence,IT,XL,FC,VH,4,A,32.5,6.3,5.2,47.4,10.3,17,90.4,12.4,25.6,2023,66.7,25.5,47,60,65,54.8,yes,11.25682118,43.77779967
Saskatoon,North America,Canada,473,University of Saskatchewan,CA,L,FC,VH,5,A,12,11.7,21.9,42.5,69.9,52.3,83.5,24.9,25.1,2023,66.4,23.7,45.9,61.9,61.1,118.3,yes,-106.6339316,52.13339887
Heidelberg,Europe,Germany,65,Ruprecht-Karls-Universitat Heidelberg,DE,L,FC,VH,5,A,78.7,40.3,99.8,41.1,51.3,47.2,95.2,22.8,69,2023,66.2,29.4,48.6,50.1,64.5,109.4,yes,8.704779126,49.41027202
Bologna,Europe,Italy,158,Technische Universitat Berlin (TU Berlin),DE,L,CO,VH,5,A,55.1,64.9,48.5,23.6,46.1,75,83.2,31.6,49.3,2023,66.2,24.5,46.2,54.1,68.6,64.3,yes,13.32325158,52.51156597
Bologna,Europe,Italy,167,Alma Mater Studiorum - University of Bologna,IT,XL,FC,VH,5,A,78.5,43.1,3.5,49.7,7.8,10.8,95.1,40.7,47.5,2023,66.2,24.5,46.2,54.1,68.6,64.3,yes,11.31601999,44.50584579
Waterloo,North America,Canada,154,University of Waterloo,CA,XL,CO,VH,4,A,40.2,77.6,7,82.5,79,82,83.6,87.7,50,2023,66.1,33.4,50.4,64.2,62.8,102.1,no,-80.54743252,43.47228537
Rome,Europe,Italy,171,Sapienza University of Rome,IT,XL,FC,VH,5,A,78,36.6,4.5,50.2,3.4,11.4,98,55.8,46.8,2023,66.1,32.3,49.9,57.3,68.2,55.4,yes,12.51186348,41.90376257
Burnaby,North America,Canada,328,Simon Fraser University,CA,L,CO,VH,4,A,24.9,21.2,5.4,52.5,93.8,88.3,75.6,24.9,32.9,2023,66.1,33.4,50.4,64.2,62.8,102.1,no,-123.1779401,49.2811471
Cologne,Europe,Germany,335,University of Cologne,DE,XL,FC,VH,5,A,36.7,31,24.8,25.6,44.6,33,89.7,27.5,31.9,2023,66.1,27.5,47.6,53.3,58.6,88.9,yes,6.926785877,50.92826317
Quebec,North America,Canada,433,Universite Laval,CA,L,FC,VH,5,A,20,17.8,32,27.6,67.4,33.5,84.6,17,26.9,2023,66.1,33.4,50.4,64.2,62.8,102.1,no,-71.27731732,46.78174627
Rome,Europe,Italy,499,"University of Rome ""Tor Vergata""",IT,L,CO,VH,3,A,31.6,12.6,6.8,34.3,9.4,29.4,75.2,14.6,24.2,2023,66.1,32.3,49.9,57.3,68.2,55.4,yes,12.62667238,41.85146207
Klagenfurt,Europe,Austria,486,University of Klagenfurt,AT,S,FO,VH,4,A,4.3,2.9,56.6,11.4,95.2,84.8,43.4,49.7,24.7,2023,66,23.1,45.4,58,63.5,91.2,no,14.26284888,46.61604737
Beirut ,Asia,Lebanon,252,American University of Beirut (AUB),LB,M,FC,VH,5,B,27.2,40.7,62.1,20,74.9,61.8,73.8,99,38.4,2023,65.8,19.2,43.5,65.3,48,22.7,no,35.47816908,33.90083587
Salt Lake City,North America,United States,392,University of Utah,US,L,FC,VH,5,A,16.5,7.6,62.5,38,18.9,9.2,82.2,15.2,29,2023,65.8,45.2,55.9,63.4,71.3,132.5,yes,-116.8333464,39.37987407
Bristol,Europe,United Kingdom,61,University of Bristol,UK,L,FC,VH,5,A,74.4,84.1,58.3,55.3,90.5,84.9,93.9,59.6,70,2023,65.6,35.6,51.2,49.9,72.1,94.4,yes,-2.604750723,51.45853757
Karlsruhe,Europe,Germany,141,"KIT, Karlsruhe Institute of Technology",DE,L,CO,VH,4,A,44.7,67.7,33.3,72,68.6,50.6,89.6,54.3,51.9,2023,65.6,23.3,45.3,56,58.3,108.9,yes,8.414455376,49.01191987
Ghent,Europe,Belgium,143,Ghent University,BE,XL,FC,VH,5,A,54,30.1,83.2,26.9,72.5,21.4,99.1,24.8,51.6,2023,65.6,22.4,44.9,54.5,69,94.5,no,3.724798377,51.04665837
Louvain-la-Neuve,Europe,Belgium,195,Universite catholique de Louvain (UCLouvain),BE,L,FC,VH,5,B,49.7,43,5.4,61.7,89.4,38.4,89.6,49.1,44.2,2023,65.6,22.4,44.9,54.5,69,94.5,no,4.613300077,50.66967667
Diepenbeek,Europe,Belgium,449,Hasselt University ,BE,M,FO,VH,3,A,4.7,3.8,78.8,16.6,68.6,25.3,74.1,11.7,26.2,2023,65.6,22.4,44.9,54.5,69,94.5,no,5.339383677,50.93346067
Oxford,Europe,United Kingdom,4,University of Oxford,UK,L,FC,VH,5,A,100,100,100,90,98.8,98.4,99.9,100,98.4,2023,65.5,43.1,54.8,55,62.2,99.7,yes,-1.256941723,51.7548163
Oxford,Europe,United Kingdom,438,Oxford Brookes University,UK,L,CO,HI,3,A,27,41.4,13,9.2,67.3,71.9,52.1,32.7,26.5,2023,65.5,43.1,54.8,55,62.2,99.7,yes,-1.232060102,51.755172
Marseille,Europe,France,490,Aix-Marseille University,FR,XL,FC,VH,5,A,36,3.5,9.1,28.8,20,21.8,98.1,9.9,24.5,2023,65.5,21.7,44.5,64.3,61.4,96.8,yes,5.317116385,43.28437778
Delft,Europe,Netherlands,61,Delft University of Technology,NL,L,CO,VH,5,A,71.6,80.2,34.5,84.4,100,83.7,95.9,64,70,2023,65.4,28.5,47.7,57.7,55.7,111.8,yes,4.371001677,52.00219187
Montreal,North America,Canada,31,McGill University,CA,XL,FC,VH,5,A,93.3,93.6,68.9,59.6,87.6,95.1,95.2,90,81.9,2023,65.3,29.2,48,63,65.1,99,yes,-73.58128145,45.50755963
Montreal,North America,Canada,116,Universite de Montreal ,CA,XL,FC,VH,5,A,57.4,47.2,76.2,27.6,89.5,53.7,86,19.3,55.9,2023,65.3,29.2,48,63,65.1,99,yes,-73.61633412,45.50561557
Trento,Europe,Italy,457,University of Trento,IT,L,CO,VH,4,A,24.6,9.4,18,46.6,31.8,6.1,85.8,7.2,25.7,2023,65.3,21.8,44.4,57.4,63.1,66.6,yes,11.12053418,46.06686717
Reading,Europe,United Kingdom,229,University of Reading,UK,L,CO,VH,5,A,33.2,29.1,20.9,55,93.3,83.9,90.4,29.6,40.4,2023,65.2,34.9,50.7,52.3,79.6,91.3,yes,-0.944670723,51.4403084
London,North America,Canada,172,Western University,CA,L,FC,VH,5,A,30.6,60.5,4.6,96.9,99.8,57.2,86,81,46.7,2023,65.1,38.1,52.2,57.6,72.9,110.8,yes,-81.28600157,43.0000309
Lund,Europe,Sweden,95,Lund University,SE,XL,FC,VH,5,A,68.8,50.9,51.3,41.4,95.8,76.6,97.6,64.9,60.1,2023,64.7,22.3,44.4,58.6,55,109.3,yes,13.20091808,55.71194827
Freiburg im Breisgau,Europe,Germany,189,Albert-Ludwigs-Universitaet Freiburg,DE,L,FC,VH,5,A,47.4,18.6,36.5,57.3,67.6,41,89,19.3,45.2,2023,64.7,30.4,48.2,53.3,59.1,97.4,yes,7.843363226,47.99277202
Kyoto,Asia,Japan,36,Kyoto University,JP,L,FC,VH,5,A,98.6,98.9,94.8,54.2,14.9,22.1,85.5,56.9,81.4,2023,64.6,20.8,43.6,66.5,37.9,100.4,no,135.7782469,35.02624437
Osaka City,Asia,Japan,68,Osaka University,JP,L,FC,VH,4,A,80.2,85.4,67.4,59.1,25,14.4,75.2,21,68.2,2023,64.6,20.8,43.6,66.5,37.9,100.4,no,135.5218927,34.82201387
Sendai City,Asia,Japan,79,Tohoku University,JP,L,FC,VH,5,A,71.8,78.1,98.6,34.2,14.1,16.4,66.8,18.7,64.9,2023,64.6,20.8,43.6,66.5,37.9,100.4,no,140.8714991,38.25383397
Fukuoka City,Asia,Japan,135,Kyushu University,JP,L,FC,VH,5,A,56.6,65,84.9,26.8,15.1,20.7,66.1,22.4,53.5,2023,64.6,20.8,43.6,66.5,37.9,100.4,no,129.500558,32.772756
Sapporo,Asia,Japan,141,Hokkaido University,JP,L,FC,VH,5,A,55.6,60.7,77.8,30,18.3,17.2,72.8,16.7,51.9,2023,64.6,20.8,43.6,66.5,37.9,100.4,no,141.3374381,43.07795747
Tsukuba City,Asia,Japan,312,University of Tsukuba,JP,L,FC,VH,3,A,33.9,17.5,63.5,19.2,15,26.5,61,13,34.1,2023,64.6,20.8,43.6,66.5,37.9,100.4,no,140.1017546,36.11159827
Higashihiroshima City,Asia,Japan,338,Hiroshima University,JP,L,FC,VH,4,A,22.4,13,87.2,10.3,20.1,17,57.2,4.9,31.8,2023,64.6,20.8,43.6,66.5,37.9,100.4,no,132.4343491,34.38507443
Kobe City,Asia,Japan,363,Kobe University,JP,L,FC,VH,4,A,27.3,35.9,64.1,9.3,8.6,9.2,45.1,12.9,30.2,2023,64.6,20.8,43.6,66.5,37.9,100.4,no,134.9955326,34.69877906
Chiba City,Asia,Japan,490,Chiba University,JP,L,FC,VH,4,A,16,6.7,71.8,11.1,8.2,6.1,39.3,3.6,24.5,2023,64.6,20.8,43.6,66.5,37.9,100.4,no,140.1005527,35.62777547
Uppsala,Europe,Sweden,128,Uppsala University,SE,L,FC,VH,5,A,63.6,27.4,43.4,43.4,95.3,74.7,97.1,48.5,54.3,2023,64.3,21.5,43.8,54.9,64.6,89.5,yes,17.62691158,59.85754527
Enschede,Europe,Netherlands,212,University of Twente,NL,L,FO,VH,4,A,20.2,36.3,37,67.9,98.8,90.7,82.5,9.2,42.4,2023,64.1,25.9,45.8,57.4,65.5,126.4,yes,6.847215077,52.23965377
Stuttgart,Europe,Germany,355,Universitat Stuttgart,DE,L,CO,VH,5,A,24.1,24.2,5.7,65.8,36.7,47.3,80.9,28.3,30.7,2023,64.1,29.8,47.7,51.5,61,121.7,yes,9.097576283,48.76624696
Manchester,Europe,United Kingdom,28,The University of Manchester,UK,XL,FC,VH,5,A,95.1,97.7,63.1,59,93.4,99.4,98.9,66.4,82.3,2023,64,30.9,48.1,50.2,71.3,96.2,yes,-2.236458623,53.4668497
Kingston,North America,Canada,246,Queen's University at Kingston,CA,L,FC,VH,5,A,38.6,69,6.1,49.6,70.3,33.2,77.6,74.1,38.8,2023,63.7,35.1,50,59.9,58.3,104.4,yes,-76.49771612,44.22527947
Tampere,Europe,Finland,415,Tampere University,FI,L,FC,VH,1,A,23.7,27.7,27.7,37.8,36.3,6.9,84.3,5.8,27.6,2023,63.7,21.5,43.5,52.8,71.3,102.2,yes,23.73671743,61.47677549
Liverpool,Europe,United Kingdom,190,University of Liverpool,UK,L,FC,VH,5,A,42.7,34.3,41.5,33.7,87.5,88.5,98.1,38.9,44.6,2023,63.6,25.4,45.3,48.9,72.2,85.9,yes,-2.967873923,53.4047823
Glasgow,Europe,United Kingdom,81,University of Glasgow,UK,XL,FC,VH,5,A,75.1,75.1,50.5,34.7,95.5,98.9,94.7,29.4,64.6,2023,63.3,26.8,45.8,48.5,70.1,107.7,yes,-4.292575823,55.87242557
Glasgow,Europe,United Kingdom,325,University of Strathclyde,UK,L,CO,VH,4,A,25.9,41.8,18.8,33.4,93.1,65.8,80,25.5,33.1,2023,63.3,26.8,45.8,48.5,70.1,107.7,yes,-4.246108273,55.86154382
Tubingen,Europe,Germany,169,Eberhard Karls Universitat Tubingen,DE,L,FC,VH,5,A,44.7,21,96.7,14.9,67,26.1,96.5,16.6,47.2,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,9.057848576,48.52527127
Gottinge,Europe,Germany,215,University of Gottingen,DE,L,FC,VH,5,A,49.3,21.5,64.1,18.7,48.4,23.6,92.7,15.4,42.2,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,9.935020277,51.54149457
Darmstadt,Europe,Germany,275,Technical University of Darmstadt,DE,L,FO,VH,5,A,20.8,38.8,6.1,81.4,63.6,76.5,82.2,37.5,36.9,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,8.653788477,49.87486987
Linkoping,Europe,Sweden,320,Linkoping University,SE,L,CO,VH,3,A,19.8,25.6,32.5,55,74.7,36.2,89,22.3,33.7,2023,62.9,22.7,43.6,55.2,64.3,101.2,no,15.57343228,58.39783637
Erlangen,Europe,Germany,340,Friedrich-Alexander-Universitat Erlangen-Nernberg,DE,XL,FC,VH,5,A,23.3,13.1,2.6,85.8,33.7,28.8,91.5,12,31.6,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,11.00196878,49.59791167
Jena,Europe,Germany,352,Universitat Jena,DE,L,FC,VH,5,A,18.4,3.3,99.9,9.2,,24,87.7,8.1,30.9,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,11.42116775,50.92239701
Umea,Europe,Sweden,369,Umea University,SE,L,FC,VH,4,A,20,11.5,77.1,17,25.7,10.6,82.4,6.2,29.9,2023,62.9,22.7,43.6,55.2,64.3,101.2,no,20.30287118,63.82022238
Ulm,Europe,Germany,375,University Ulm,DE,M,FO,VH,4,A,7.6,3.2,80.6,34.4,42.7,23,60.7,7.5,29.8,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,9.777638115,48.38747126
Munster,Europe,Germany,384,University of Munster,DE,L,FC,VH,5,A,33.1,22.2,46.3,13.6,29.1,5.3,83.1,19.3,29.3,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,7.610679877,51.96358097
Wurzburg,Europe,Germany,410,Julius-Maximilians-Universitat Wurzburg,DE,L,FC,VH,5,A,16.2,4.2,4.6,85.5,43.8,10.6,77.3,2.9,27.8,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,9.932685077,49.78818137
Bochum,Europe,Germany,416,Ruhr-Universitat Bochum,DE,XL,FC,VH,4,A,21.4,8.9,2.2,72.6,29.7,28.5,84.8,12.5,27.5,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,7.259129977,51.44688627
Mainz,Europe,Germany,420,Johannes Gutenberg Universitat Mainz,DE,XL,FC,VH,5,A,21.3,15.6,54.4,17.4,39.3,17.9,92.5,11.2,27.4,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,8.238980277,49.99264027
Saarbruken,Europe,Germany,441,Universitat des Saarlandes,DE,L,FC,VH,4,A,10.2,7.5,86.8,9,5.5,41,80.3,23.6,26.4,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,7.038376476,49.25512197
Halle,Europe,Germany,477,Martin-Luther-Universitat Halle-Wittenberg,DE,L,FC,HI,5,A,14.6,4.5,83.9,5.7,,10.7,83.6,17.2,24.9,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,11.96695658,51.48613187
Giessen,Europe,Germany,490,Justus-Liebig-University Giessen,DE,L,FC,HI,5,A,12.3,8.1,1.8,85.5,10.3,13.9,90.6,8.1,24.5,2023,62.9,26.1,45.3,50.9,56.2,107.6,no,8.660695423,50.57765825
Padova,Europe,Italy,243,Universita di Padova,IT,XL,FC,VH,5,A,56.2,30.4,9.3,51.9,11.5,7.1,93.4,10.5,38.9,2023,62.8,20,42.3,50.2,61.4,62.9,yes,11.87223467,45.40822303
Nottingham,Europe,United Kingdom,114,University of Nottingham,UK,XL,FC,VH,5,A,59,75.3,36.9,45.2,90.3,76.7,98.1,32.5,56.2,2023,62.5,25,44.6,55.9,60.5,90.3,yes,-1.200680623,52.93879217
Gothenburg,Europe,Sweden,125,Chalmers University of Technology,SE,M,CO,VH,5,B,27.9,60.7,60.5,81.6,100,72.4,84.1,22.5,54.5,2023,62.2,25.4,44.5,55.5,57.3,101.6,yes,11.97390288,57.68937612
Gothenburg,Europe,Sweden,185,University of Gothenburg,SE,L,FC,VH,4,A,37.4,20.1,66.1,34.4,86.9,74.4,94.9,48.7,45.4,2023,62.2,25.4,44.5,55.5,57.3,101.6,yes,11.96900738,57.69838547
Leeds,Europe,United Kingdom,86,University of Leeds,UK,XL,FC,VH,5,A,70.2,78.4,41.6,47.8,86.3,86.5,97.8,42.9,62.8,2023,62,27.4,45.4,49.2,60.8,100.7,yes,-1.557607723,53.8066814
Vienna,Europe,Austria,151,University of Vienna,AT,XL,FC,VH,5,A,69.4,55.3,24.2,14.1,98.9,89.2,96.6,73,50.6,2023,61.8,26.5,44.9,54.1,66.2,112.9,yes,16.35747548,48.21318547
Vienna,Europe,Austria,179,Technische Universitat Wien,AT,M,FO,VH,5,A,30.9,50.3,12.3,86.6,79.7,86.7,76.7,29.5,45.7,2023,61.8,26.5,44.9,54.1,66.2,112.9,yes,16.36588768,48.19865457
Belfast,Europe,United Kingdom,233,Queen's University Belfast,UK,L,FC,VH,5,A,31.7,27.6,34.5,37.3,99.3,99,95.1,11.4,39.9,2023,61.8,25.2,44.3,50.3,71.9,89.2,yes,-5.944691023,54.59136096
Durham,Europe,United Kingdom,92,Durham University,UK,L,FC,VH,5,A,57.9,89.2,31,65.7,97.2,87.2,89.1,43.6,60.9,2023,61.5,30.3,46.6,47.7,67.9,98.9,no,-28.55720946,39.682637
St. Andrews,Europe,United Kingdom,96,University of St Andrews,UK,M,FC,VH,5,A,46.2,67.6,61.1,58.9,98.8,99.7,83.4,44.1,59.5,2023,61.5,30.3,46.6,47.7,67.9,98.9,no,-2.796842323,56.3417135
Lancaster,Europe,United Kingdom,146,Lancaster University,UK,L,FC,VH,4,A,39.6,30,31.5,82.2,93.3,94.5,88.9,28.3,51.2,2023,61.5,30.3,46.6,47.7,67.9,98.9,no,-2.790304323,54.0103941
York,Europe,United Kingdom,162,University of York,UK,L,FC,VH,4,A,43.3,36.1,45,48.6,88.1,82.1,88.9,23.7,48.4,2023,61.5,30.3,46.6,47.7,67.9,98.9,no,-1.054346723,53.9461088
Bath,Europe,United Kingdom,179,University of Bath,UK,L,CO,VH,4,A,34.4,68.9,19.9,59.1,97.4,83.6,78.2,41,45.7,2023,61.5,30.3,46.6,47.7,67.9,98.9,no,-2.329352973,51.37877342
Loughborough,Europe,United Kingdom,256,Loughborough University,UK,L,CO,VH,4,A,29.9,65.9,22.2,37.7,84.3,63.7,88.2,25.6,38.1,2023,61.5,30.3,46.6,47.7,67.9,98.9,no,-1.234665323,52.7650252
Canterbury,Europe,United Kingdom,375,University of Kent,UK,L,CO,VH,4,A,18.2,6.4,16.6,50.7,96.7,68.4,69.5,32.7,29.8,2023,61.5,30.3,46.6,47.7,67.9,98.9,no,1.060429277,51.29673947
Egham,Europe,United Kingdom,402,Royal Holloway University of London,UK,M,CO,VH,5,A,16.8,7.5,15.8,42.5,94.3,86.9,64.7,11.5,28.3,2023,61.5,30.3,46.6,47.7,67.9,98.9,no,-0.569324323,51.4247096
Swansea,Europe,United Kingdom,425,Swansea University,UK,L,FC,HI,5,A,18.5,33.7,25.9,24.4,72.8,52.8,83.2,7.3,27.2,2023,61.5,30.3,46.6,47.7,67.9,98.9,no,-4.012387122,51.61414266
Colchester,Europe,United Kingdom,465,"Essex, University of",UK,L,CO,VH,4,A,16.2,8,12.3,28.1,99.7,98.3,71.8,12.8,25.4,2023,61.5,30.3,46.6,47.7,67.9,98.9,no,-0.680559658,51.7893306
Edinburgh,Europe,United Kingdom,15,The University of Edinburgh,UK,XL,FC,VH,5,A,98,97.2,81.1,70.1,98.9,99.5,98.7,54.3,89.5,2023,61.4,32.5,47.5,47.5,71.1,96.3,yes,-3.191816223,55.94451577
