city,region,country,rank display,institution,location code,size,focus,research,age band,status,ar score,er score,fsr score,cpf score,ifr score,isr score,irn score,ger score,score scaled,year,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,check_city,longitude,latitude
Tokyo,Asia,Japan,392,Tokyo Medical and Dental University (TMDU),JP,S,FO,VH,4,A,10.6,4.8,100,15.8,3.2,16.6,24.7,6.4,29,2023,73.7,33.5,54.5,80.6,42.5,90,yes,139.761586,35.70140827
Milan,Europe,Italy,139,Politecnico di Milano,IT,XL,FO,VH,5,A,67.8,76.8,5.4,53.5,57.5,54.3,87.8,39.7,52.4,2023,73.6,39.8,57.4,60.7,80.8,55.4,yes,9.150649535,45.49044789
Milan,Europe,Italy,324,University of Milan,IT,XL,FC,VH,4,A,49.8,15,5.4,48.5,9,7.1,88.4,16.5,33.2,2023,73.6,39.8,57.4,60.7,80.8,55.4,yes,9.191554876,45.46034197
Milan,Europe,Italy,436,Universita Vita-Salute San Raffaele,IT,S,SP,VH,3,B,3,1.4,99.7,22.7,8.7,4.9,35.7,9.5,26.6,2023,73.6,39.8,57.4,60.7,80.8,55.4,yes,9.264718876,45.50691057
Jerusalem,Asia,Israel,222,The Hebrew University of Jerusalem,IL,L,FC,VH,5,A,34.8,23.8,78.8,28.7,63.7,7.1,74.6,89.3,41.5,2023,73.5,34.2,54.6,62.7,81,84.2,yes,35.23882598,31.79455777
Austin,North America,United States,72,University of Texas at Austin,US,XL,FC,VH,5,A,93.7,85.2,9.8,90.9,7.6,10.8,90.9,71.1,67.4,2023,73.2,66.4,69.9,70.3,78.7,128.3,yes,-97.73609752,30.28502837
Munich,Europe,Germany,49,Technical University of Munich,DE,XL,FO,VH,5,A,84,96.8,96.4,25.8,70.3,95,91.8,37.5,76.4,2023,73.1,41.4,57.9,63,66.6,101.6,yes,11.56482898,48.14900797
Munich,Europe,Germany,59,Ludwig-Maximilians-Universitat Munchen,DE,XL,FC,VH,5,A,92.6,75.7,56,45.5,64.2,38.8,94.7,39.3,70.4,2023,73.1,41.4,57.9,63,66.6,101.6,yes,11.57728598,48.15091847
Toronto,North America,Canada,34,University of Toronto,CA,XL,FC,VH,5,A,99.6,98.3,65.6,43.5,95.8,95.7,96.7,94,81.5,2023,73,47.3,60.7,67.3,78.7,91,yes,-79.40580325,43.65845088
Columbus,North America,United States,140,The Ohio State University,US,XL,FC,VH,5,A,61.1,62.2,51.1,34.6,63,16.2,96.5,41.9,52,2023,73,41.9,58.1,67.5,66.9,125.2,yes,-83.03302952,40.00667227
Toronto,North America,Canada,456,York University,CA,XL,CO,VH,4,A,22.6,31.3,6.1,28.2,52,82.1,60.8,48.7,25.9,2023,73,47.3,60.7,67.3,78.7,91,yes,-79.50444332,43.77345347
Dunedin,Oceania,New Zealand,217,University of Otago,NZ,L,FC,VH,5,A,47.1,34.3,12.5,51.4,100,34.5,77,49.3,42,2023,72.9,31.9,53.2,69.4,69.7,93,no,168.2744903,-45.44307646
Nijmegen,Europe,Netherlands,232,Radboud University ,NL,L,FC,VH,4,A,29.9,13.5,27.6,82.4,69.8,19.4,90.9,6.5,40,2023,72.9,31.2,52.9,58.9,72.8,96.3,yes,5.861243777,51.82201887
"Kelburn, Wellington",Oceania,New Zealand,275,Victoria University of Wellington,NZ,L,CO,VH,4,A,44.8,30.1,10.5,30.9,99.4,50.2,69.7,63.6,36.9,2023,72.9,31.9,53.2,69.4,69.7,93,no,92.48291701,-10.302341
Palmerston North,Oceania,New Zealand,292,Massey University,NZ,M,CO,VH,4,A,29.3,19.1,37.4,22.6,98.3,99.7,84.1,32.5,35.7,2023,72.9,31.9,53.2,69.4,69.7,93,no,172.5203615,-38.9873536
Hamilton ,Oceania,New Zealand,331,University of Waikato,NZ,M,CO,VH,4,A,18.4,13,12,58.2,99.1,88.7,56.8,54.2,32.3,2023,72.9,31.9,53.2,69.4,69.7,93,no,175.3156909,-37.78667067
Lincoln,Oceania,New Zealand,368,Lincoln University ,NZ,S,CO,VH,3,A,7.5,5.9,43.7,39.1,100,95.5,20.8,93.6,30.1,2023,72.9,31.9,53.2,69.4,69.7,93,no,172.4616503,-43.64536247
Cambridge,North America,United States,1,Massachusetts Institute of Technology (MIT) ,US,M,CO,VH,5,B,100,100,100,100,100,90,96.1,100,100,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-71.09673492,42.36009097
Stanford,North America,United States,3,Stanford University,US,L,FC,VH,5,B,100,100,100,99.9,99.8,60.3,96.3,100,98.5,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-122.1726349,37.42765997
Cambridge,North America,United States,5,Harvard University,US,L,FC,VH,5,B,100,100,99.4,100,76.9,66.9,100,100,97.6,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-71.12081722,42.37464067
Pasadena,North America,United States,6,California Institute of Technology (Caltech),US,S,CO,VH,5,B,96.5,87.1,100,100,99.8,85.1,73,98.8,97,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-118.1278439,34.1376575
Princeton,North America,United States,16,Princeton University,US,M,CO,VH,5,B,99.9,98.9,72.6,100,26,62.2,78.5,100,89.2,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-74.75042552,40.34828406
New Haven,North America,United States,18,Yale University,US,M,FC,VH,5,B,99.9,100,100,51.5,89.2,77.3,92,100,89,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-72.94581538,41.30285621
Ithaca,North America,United States,20,Cornell University,US,L,FC,VH,5,B,98.3,91.4,62.2,99.3,63.9,55.3,90,99.5,87.2,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-76.47607762,42.45344917
New York City,North America,United States,22,Columbia University,US,L,FC,VH,5,B,99.7,98.1,100,47.2,47.6,94.6,98.9,99.8,86.7,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-73.96514762,40.80753547
Ann Arbor,North America,United States,25,University of Michigan-Ann Arbor,US,XL,FC,VH,5,A,98.5,91.3,88.9,62.5,71.2,33.1,96.3,96,84.4,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-83.74078202,42.27714497
Berkeley,North America,United States,27,"University of California, Berkeley (UCB)",US,XL,FC,VH,5,A,100,100,23.9,99.9,93.3,57.7,96.7,99.1,82.7,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-122.2620355,37.8701509
Evanston,North America,United States,32,Northwestern University,US,L,FC,VH,5,B,84.4,71.9,98.3,84.2,40.5,38.8,89,98.4,81.8,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-87.73505614,41.97717829
New York City,North America,United States,39,New York University (NYU),US,XL,FC,VH,5,B,95.9,99,98.1,28.9,31.3,94.4,92,99.7,80.3,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-74.00843129,40.72340279
Durham,North America,United States,50,Duke University,US,L,FC,VH,5,B,86.1,79.8,100,41.2,20.2,55.1,95.5,98.6,74.8,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-78.94080352,36.00142577
Providence,North America,United States,63,Brown University,US,M,FC,VH,5,B,57.6,54.2,80.8,89.9,82.8,49.8,73.6,99.6,69.6,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-71.40534252,41.82681227
Champaign,North America,United States,85,University of Illinois at Urbana-Champaign,US,XL,FC,VH,5,A,85.6,60.9,9.5,88.7,20.3,46.4,92.2,70,63.6,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-88.22973642,40.10195227
University Park,North America,United States,93,Pennsylvania State University,US,XL,FC,VH,5,A,76.7,69.8,32.6,67.7,25.3,31,96.8,44.8,60.8,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-77.86248332,40.79821327
Davis,North America,United States,102,"University of California, Davis",US,XL,FC,VH,5,A,64.8,51,27.1,68.7,84.7,70.2,90.2,25,58.2,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-121.7642874,38.5382321
Chapel Hill,North America,United States,102,"University of North Carolina, Chapel Hill",US,XL,FC,VH,5,A,65.5,44.7,80.4,46.6,27.2,10,90,67.4,58.2,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-79.04948832,35.90491217
St. Louis,North America,United States,118,Washington University in St. Louis,US,L,FC,VH,5,B,40.1,15.3,99.9,55.6,82.4,55.1,84.9,71,55.8,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-90.32204996,38.64742103
West Lafayette,North America,United States,129,Purdue University,US,XL,FC,VH,5,A,62.7,73.1,11.7,70.9,51.7,48.4,92.2,63.8,54.2,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-86.92376952,40.42370537
